longitude,latitude
-114.59782,35.01775
-111.72998,33.60845
-112.72433,32.94583
-111.80709,33.37804
-111.7899,33.35859
-111.75581,33.30754
-111.75542,33.3376
-112.26693,33.50863
-112.22478,33.63976
-112.22369,33.63845
-112.21986,33.53813
-112.20277,33.66716
-112.20269,33.58185
-112.18517,33.50973
-112.18442,33.61061
-112.16853,33.56765
-112.15398,33.5386
-112.35847,33.45044
-114.00857,35.21977
-114.34547,34.47512
-111.87883,33.3639
-111.86834,33.3933
-111.85741,33.42233
-111.84026,33.38943
-111.83992,33.4517
-111.80698,33.41535
-111.78734,33.39345
-111.77249,33.42284
-111.75278,33.37935
-111.70451,33.45172
-111.6841,33.38382
-111.63355,33.41555
-114.59779,34.88059
-110.95729,32.39852
-114.28658,34.15136
-111.32279,34.23788
-112.25544,33.58064
-112.24023,33.60979
-112.23813,33.46577
-112.22282,33.4228
-112.21892,33.49454
-112.16953,33.46614
-112.15205,33.4951
-112.13561,33.63935
-112.13537,33.45128
-112.13399,33.40825
-112.13365,33.60946
-112.12158,33.48429
-112.12057,33.58171
-112.11487,33.52421
-112.10874,33.55325
-112.10862,33.50967
-112.10674,33.68394
-112.08241,33.43008
-112.07384,33.47618
-112.07314,33.39931
-112.07247,33.44835
-112.07037,33.5676
-112.06657,33.7993
-112.06537,33.64059
-112.06496,33.37766
-112.06491,33.53888
-112.06405,33.40655
-112.05338,33.30556
-112.04925,33.43666
-112.04708,33.48007
-112.03368,33.49465
-112.02972,33.65491
-112.01382,33.46592
-112.01326,33.59311
-111.9987,33.30496
-111.99569,33.43475
-111.99521,33.64048
-111.99506,33.40742
-111.98892,33.48011
-111.98063,33.33059
-111.97764,33.58664
-109.94983,34.13497
-112.33043,34.58556
-112.48406,34.55948
-112.43112,34.55193
-111.68588,33.21956
-111.93543,33.48006
-111.91986,33.46583
-111.90569,33.57455
-111.89702,33.62646
-111.83814,33.58783
-111.764805,34.866201
-110.04227,34.25067
-110.25716,31.55818
-111.87443,33.21825
-112.37344,33.65641
-112.33186,33.63826
-111.95911,33.34932
-111.95603,33.40727
-111.94038,33.42176
-111.93906,33.39273
-111.92876,33.36353
-111.92647,33.44231
-111.90995,33.34932
-111.90893,33.40693
-109.734744,32.837111
-109.7346,32.83725
-111.09164,32.35721
-111.04623,32.33732
-111.01543,32.30565
-111.00075,32.13359
-110.99399,32.17797
-110.98386,32.22937
-110.97933,32.25038
-110.97798,32.28895
-110.94548,32.27232
-110.94418,32.23505
-110.9412,32.16308
-110.9339,32.13391
-110.92203,32.4837
-110.90958,32.25103
-110.90041,32.20721
-110.89276,32.30867
-110.8745,32.25048
-110.8577,32.22172
-110.8434,32.19176
-112.72101,33.96972
-109.8399,32.26431
-114.65037,32.70032
-114.62445,32.68349
-114.6226,32.59661
-114.624553,32.725192
-117.4155,34.50891
-118.75938,34.14522
-118.13938,34.07744
-118.12082,34.09788
-117.72353,33.57323
-117.70735,33.5707
-117.57558,34.12266
-117.9413,33.82597
-117.938,33.80302
-117.90808,33.81794
-117.88595,33.83931
-117.78753,33.85945
-117.74342,33.86804
-120.5547,38.07944
-117.21423,34.47154
-118.03513,34.10763
-118.07218,33.85965
-118.8334,35.20926
-120.65458,35.47427
-121.05595,38.92585
-117.89059,34.12868
-119.18719,35.52945
-119.11006,35.38421
-119.09438,35.35458
-119.09105,35.31847
-119.05803,35.35401
-119.05788,35.41253
-119.04861,35.33934
-119.04326,35.40457
-119.03953,35.36885
-119.03041,35.31792
-119.00309,35.39049
-118.9711,35.39736
-118.9351,35.37584
-118.91319,35.35425
-117.97971,34.06985
-117.96582,34.08507
-117.03956,34.89367
-117.00252,34.89294
-116.94736,33.92915
-118.1861,33.963
-118.11865,33.87286
-116.89964,34.24339
-117.39599,34.07088
-114.60558,33.60524
-117.9015,33.91713
-117.86622,33.91079
-120.18742,34.61093
-117.9982,33.8521
-117.99728,33.88266
-117.99333,33.83863
-118.31911,34.17853
-116.77362,33.91964
-115.4985,32.67108
-117.05647,33.99327
-119.0391,34.21822
-117.34547,33.31085
-118.59464,34.20122
-118.46687,34.41553
-117.32703,33.17969
-117.26698,33.10365
-121.34564,38.59541
-121.32826,38.63171
-118.28585,33.83942
-118.26794,33.82412
-118.26379,33.82412
-118.62353,34.49802
-116.48264,33.78838
-116.45704,33.81615
-118.06089,33.87006
-118.58729,34.25712
-117.71529,33.98552
-117.68581,34.03339
-117.08804,32.62763
-117.06675,32.6081
-117.064,32.64811
-117.02076,32.63613
-121.27161,38.70666
-121.26547,38.67837
-117.32261,34.06649
-117.30891,34.05048
-118.1249,33.97611
-118.22068,33.89584
-117.5846,33.87719
-117.56451,33.88406
-117.54391,33.86466
-117.51504,33.8831
-117.17057,32.69817
-117.91912,33.68491
-122.713097,38.331338
-117.92467,34.08957
-117.87235,34.09904
-118.39463,34.00132
-118.01079,33.80991
-117.69766,33.49098
-117.24849,32.98067
-119.24906,35.78954
-117.83636,33.97577
-117.82348,34.00978
-118.15295,33.92473
